kr,en
"SkillBreak_JustBefore_FromIshura = 1 인 경우임, SkillBreak_JustBefore_FromIshura 변수는 이슈라AI에게 신호 받아서 1이 됨, 이슈라AI에게 신호 받아서 스킬 브레이크 발동하게 하는 이유는 졸몹 다수가 있는 상태에서 스킬 브레이크 하면 상당히 난잡해 지기 때문에, 깔끔하게 이슈라가 졸몹 제거하고 이후 신호 보내서 진행하는 방식으로 하였음","SkillBreak_JustBefore_FromIshura = 1, the SkillBreak_JustBefore_FromIshura variable is set to 1 when Ishura AI is signaled, the reason for having Ishura AI signaled to trigger the skill break is that it would be quite chaotic to do a skill break while there are a lot of zombies, so we decided to have Ishura remove the zombies and then signal to proceed."
"이 몬스터가 등장해 AI로직을 타서 공격 상태가 되었음을 알림, 참고로 이거 무척 중요한 내용인데 monsterMob.xlsx 의  propertyTags 항목에 ""battle_on_spawn,keep_battle""를 꼭 설정해야 전투가 절대 풀리지 않으면서 2PhaseTubeAttackCheck.xml 트리거에 설정된 MarbleTurkaSupportMany 변수가 꼬이지 않게 됨","Notify the AI logic that this monster has spawned and is now in an attack state. Note that this is very important, you must set ""battle_on_spawn,keep_battle"" in the propertyTags entry of monsterMob.xlsx to ensure that the battle never unravels and that the MarbleTurkaSupportMany variable set in the 2PhaseTubeAttackCheck.xml trigger does not get messed up."
"위  <aiPreset name=""TotemAppearancePattern""/>  이것에 의해 다수 토템이 이미 존재하는 상태에서  <aiPreset name=""DefenceBoogieWhiteLaserMode""/>  에 의해 너무 많은 몬스터가 추가 소환되면 너무 복잡하는 문제가 있어서, 이미 배치된 계약의 토템 수에 따라 추가 소환 할지말지를 결정라는 로직이 들어가 있음","The above <aiPreset name=""TotemAppearancePattern""/> would be too complicated if too many monsters are summoned by <aiPreset name=""DefenceBoogieWhiteLaserMode""/> when multiple totems are already present, so we've included logic to determine whether or not to summon additional monsters based on the number of totems in the contract already deployed."
"1페이즈때 나왔던 소환몹 2페이즈로 넘어오면 전부 제거하기, 이거 사용 주의해야 하는데
							  소환몹 등장하고 죽을 때 트리거쪽에서 MonsterMany 변수 정밀하게 1 더하기 빼기를 하는데,
							  소환몹 강제 제거해버리면 이 MonsterMany 변수가 꼬여서 버그 생김, 그래서 이 명령어 사용한 다음 꼭 MonsterMany = 0 초기화 해야함","Removing all summoned mobs from phase 1 when they enter phase 2, but be careful using this.
							  When a spawned mob appears and dies, the trigger does a precise 1 plus or minus on the MonsterMany variable,
							  if you force the summoned mobs to be removed, this MonsterMany variable will be twisted and buggy, so be sure to reset MonsterMany = 0 after using this command."
"발록의 버프 유무에 따라 BossBuffOkCheck 신호를 해당 NPC에게 주기적으로 계속 보내야 상황에 따른 신호 전달 상태가 정확하게 이루어 짐, !중요!: 참고로 캐논포가 발사후 파괴되면 설치NPC가  무조건 BossBuffOkCheck = 0 신호를 받기 때문에 캐논포가 발록 공격에 의한 파괴일 경우 아래 신호에 의해서 설치NPC가 설치 행위를 하도록 하는 것임","Depending on whether the Balrog is buffed or not, the BossBuffOkCheck signal must be sent to the NPC periodically to ensure the correct signal delivery state according to the situation: If the cannon is destroyed after firing, the installer NPC will unconditionally receive a BossBuffOkCheck = 0 signal, so if the cannon is destroyed by a Balrog attack, the installer NPC will be prompted to perform the installation behavior by the following signal"
"바닥 레이저 합동 공격,  중요: initialCooltime 설정 꼭 필요 왜냐하면 분신 소환몹 등장하여 전투 상태로 전환 전에 이 부분 실행되면 로직이 꼬여 대박 버그 생길 수 있어서, 안전 장치로 꼭 initialCooltime 설정 해야 함, 보스가 HP극감 되엇 바로 2페이즈 부터 시작할 수 있으니 무조건 initialCooltime 설정하는 것이 좋음","Floor Laser Joint Attack, Important: You must set initialCooltime because if this part is executed before the minion appears and switches to combat, the logic can get messed up and cause a huge bug, so you must set initialCooltime as a failsafe, and because the boss can start Phase 2 as soon as he is HP-drained, it is recommended that you always set initialCooltime."
"졸병 소환,   21420312 얼음 보호막 죽을때 MonsterNumber -1,   21420313 얼음 보호막No  죽을때 MonsterNumber -1,  21420314 얼음 보호막No  죽을때 MonsterNumber -1 안함   HP낮음,  21420315  거대 투사체 사용 빈도 낮음 보호막No  MonsterNumber -1  HP 무척 낮음","Summon minions, 21420312 Ice Shield MonsterNumber -1 on death, 21420313 Ice ShieldNo MonsterNumber -1 on death, 21420314 Ice ShieldNo MonsterNumber -1 on death HP Low, 21420315 Giant Projectile Less frequently used ShieldNo MonsterNumber -1 HP Very Low"
"졸병 소환,   21421312 얼음 보호막 죽을때 MonsterNumber -1,   21421313 얼음 보호막No  죽을때 MonsterNumber -1,  21421314 얼음 보호막No  죽을때 MonsterNumber -1 안함   HP낮음,  21421315  거대 투사체 사용 빈도 낮음 보호막No  MonsterNumber -1  HP 무척 낮음","Summon minions, 21421312 Ice Shield MonsterNumber -1 on death, 21421313 Ice ShieldNo MonsterNumber -1 on death, 21421314 Ice ShieldNo MonsterNumber -1 on death HP Low, 21421315 Giant Projectile Less frequently used ShieldNo MonsterNumber -1 HP Very Low"
"졸병 소환,   21500470 얼음 보호막 죽을때 MonsterNumber -1,   21500471 얼음 보호막No  죽을때 MonsterNumber -1,  21500472 얼음 보호막No  죽을때 MonsterNumber -1 안함   HP낮음,  21500473  거대 투사체 사용 빈도 낮음 보호막No  MonsterNumber -1  HP 무척 낮음","Summon minions, 21500470 Ice Shield MonsterNumber -1 on death, 21500471 Ice ShieldNo MonsterNumber -1 on death, 21500472 Ice ShieldNo MonsterNumber -1 on death HP Low, 21500473 Giant Projectile Less frequently used ShieldNo MonsterNumber -1 HP Very Low"
"이 변수도 다음 사용을 위해 초기화 하기 , 스킬브레이크 다시 시작할때 플레이어가 이슈라 근처에 있다면 위 상위 단계에서 거리체크로 이 변수 1로 셋팅하여 다시 사용하게 할 것임   중요: 스킬브레이크 막기 실패하면 모든 플레이어 메인 전투판에서 쫓겨나고 이 변수 다시 0으로 초기화 해서, 플레이어가 메인 전투판에 들어서야 스킬 브레이크 패턴 시작하도록 함","Also reset this variable for the next use, if the player is near Ishra when the skillbreak is restarted, the distance check above will set this variable to 1 to enable it again Important: If the skillbreak fails, all players are kicked off the main battlefield and this variable is reset back to 0, so that the skillbreak pattern only starts when the player enters the main battlefield."
"이슈라가 혹시 3페이지 이전에 빨리 죽으면, 두번째 전투판으로 이동하는 다리 생성 +1 신호를 못보내어 대박 버그 생길수 있기 때문에 죽을 때 의무적으로 이 신호 보냄    MS2TriggerModel  ID : 991   BridgeAppear = +1 신호를   Bridge.xml 트리거에 보내서 두번째 전투판으로 이동하는 다리를 생성 준비 작업 하기","If Ishura dies early, before page 3, we might not get the +1 signal to create the bridge to the second battlefield, which could cause a huge bug, so we need to send this signal when she dies MS2TriggerModel ID : 991 BridgeAppear = +1 Signal to the Bridge.xml trigger to prepare to create the bridge to the second battlefield"
"렌듀비아가 3페이지 이전에 빨리 죽으면, 두번째 전투판으로 이동하는 다리 생성 +1 신호를 못보내어 대박 버그 생길수 있기 때문에 죽을 때 의무적으로 이 신호 보냄    MS2TriggerModel  ID : 991   BridgeAppear = +1 신호를   Bridge.xml 트리거에 보내서 두번째 전투판으로 이동하는 다리를 생성 준비 작업 하기","If Rendubia dies early, before page 3, it will not send the +1 signal to create the bridge to the second battlefield, which can cause a huge bug, so it is mandatory to send this signal when it dies MS2TriggerModel ID : 991 BridgeAppear = +1 Signal to the Bridge.xml trigger to prepare to create the bridge to the second battlefield"
"유페리아가 3페이지 이전에 빨리 죽으면, 두번째 전투판으로 이동하는 다리 생성 +1 신호를 못보내어 대박 버그 생길수 있기 때문에 죽을 때 의무적으로 이 신호 보냄    MS2TriggerModel  ID : 991   BridgeAppear = +1 신호를   Bridge.xml 트리거에 보내서 두번째 전투판으로 이동하는 다리를 생성 준비 작업 하기","If Euphoria dies early, before page 3, we will not be able to send the +1 signal to create the bridge to the second battlefield, which could lead to a huge bug, so we need to send this signal when she dies MS2TriggerModel ID : 991 BridgeAppear = +1 Signal to the Bridge.xml trigger to prepare to create the bridge to the second battlefield"
"혹시 1셋트 전투판에서 죽을 수 있어서 이 설정 한번 더 넣음, 렌듀비앙 전용 디버프 걸기 끄기, MS2TriggerModel  ID : 995   RenduebianFirstSetEnd = 1 신호를   Debuff_IshuraRenduebianYuperia.xml 트리거에 보내서 전투판에 설치된 렌듀비앙 전용 디버프 거는 스킬 Off 상태로 만들기","In case you die on the first set of Battlegrounds, I added this setting one more time, Turn off Renduebian-only debuffing, MS2TriggerModel ID: 995 RenduebianFirstSetEnd = 1 to signal the Debuff_IshuraRenduebianYuperia.xml trigger to turn off the Renduebian-only debuffing skill installed on Battlegrounds."
"이슈라가 혹시 3페이지 이전에 죽을 수 있어서 이 설정 한번 더 넣음, 이슈라 전용 디버프 걸기 끄기, MS2TriggerModel  ID : 995   IshuraFirstSetEnd = 1 신호를   Debuff_IshuraRenduebianYuperia.xml 트리거에 보내서 전투판에 설치된 이슈라 전용 디버프 거는 스킬 Off 상태로 만들기","In case Ishura dies before page 3, I added this setting one more time, Turn off Ishura-specific debuffing, MS2TriggerModel ID: 995 IshuraFirstSetEnd = 1 to signal the Debuff_IshuraRenduebianYuperia.xml trigger to turn off the Ishura-specific debuffing skill installed on the battleboard."
"혹시 1셋트 전투판에서 죽을 수 있어서 이 설정 한번 더 넣음, 유페리아 전용 디버프 걸기 끄기, MS2TriggerModel  ID : 995   YuperiaFirstSetEnd = 1 신호를   Debuff_IshuraRenduebianYuperia.xml 트리거에 보내서 전투판에 설치된 유페리아 전용 디버프 거는 스킬 Off 상태로 만들기","In case you die on the first set of Battlegrounds, I added this setting one more time, Turn off Euphoria-specific debuffing, MS2TriggerModel ID: 995 YuperiaFirstSetEnd = 1 to signal the Debuff_IshuraRenduebianYuperia.xml trigger to turn off the Euphoria-specific debuffing skill installed on the Battlegrounds."
"지란트 소환몹이 등장하자마자 바로 죽으면 CheckSummonMany +1 신호를 트리스탄한테 보내지도 못하고 죽어서 트리스탄이 기력 모으기 행동만 무한으로 하는 버그가 생길 수 도 있는데, 그럴 경우 ""50101001 레벨11 스킬"" 실행하고 standby 행동 10초 이상 행동한 다음   SummonBattleMode=2 실행하도록 설정했음","If the Girant summon mob dies immediately after appearing, it may die before it can send the CheckSummonMany +1 signal to Tristan, causing Tristan to have an infinite energy gathering action. In this case, we set the ""50101001 level 11 skill"" to run, perform a standby action for at least 10 seconds, and then run SummonBattleMode=2."
"공격 행위 후 5시 전투판 구석 점프 이동 도망(이 행위가 8초 넘어야 함), 여기서 몇시 전투판으로 이동했는지 MonsterPosition 변수를 통해 알릴 필요 없음, 어차피 공 3개 전투판 중앙으로 이동할 것이기 때문에, (이 행위가 8초 넘어야 하는데 그렇지 않으면 쫓아가도 중앙으로 바로 오지 않아 건너편 전투판 파티원이 공격을 못함)","Jump to the corner of the 5 o'clock board after the attack action and run away (this action must be over 8 seconds), where you don't need to tell the MonsterPosition variable what time you moved to the 5 o'clock board, because you're going to move to the center of the 3 ball board anyway (this action must be over 8 seconds, or else you won't come right to the center if you chase, and the party on the other side of the board won't be able to attack)"
"공격 행위 후 7시 전투판 구석 점프 이동 도망(이 행위가 8초 넘어야 함), 여기서 몇시 전투판으로 이동했는지 MonsterPosition 변수를 통해 알릴 필요 없음, 어차피 공 3개 전투판 중앙으로 이동할 것이기 때문에, (이 행위가 8초 넘어야 하는데 그렇지 않으면 쫓아가도 중앙으로 바로 오지 않아 건너편 전투판 파티원이 공격을 못함)","Jump to the corner of the 7 o'clock board after the attack action and run away (this action must be over 8 seconds), where you don't need to tell the MonsterPosition variable what time you moved to the 7 o'clock board, because you're going to move to the center of the 3 ball board anyway (this action must be over 8 seconds, or else you won't come right to the center if you chase, and the party on the other side of the board won't be able to attack)"
"이 쿨타임이 104초 인 이유는 이 모듈 호출하는 주기가 36초인데 이것이 2회 왔을 때도 쿨타임 상태여야 하고 3회 왔을 때 사용 가능 상태야 해서,  즉 적당히 76초~107초 사이의 시간을 설정하는 것이 좋은데 76초 가까이 하면, 전투판 옮기면 바로 이 모듈 호출하는데, 이때 자주 발동되기 때문에 107초에 가까이 설정하는 것이 좋음","The reason why this cooldown is 104 seconds is because this module has a 36-second cycle of calling this module, and it needs to be in a cooldown state when it comes up twice, and it needs to be available when it comes up three times, so you want to set it somewhere between 76 and 107 seconds, and if you set it closer to 76 seconds, it will call this module as soon as you move the battlefield, which is often, so you want to set it closer to 107 seconds."
"혹시 1페이지에서 <aiPreset name=""1Phase_SequenceAttackBattle""/>의 공격중인 상태에서 <aiPreset name=""2Phase_SequenceAttackBattle""/> 넘어올 경우 동작이 중간과정 없이 바로 Attack_Idle이 되어 어색해 보이는 문제가 있어서 이럴 경우 마무리 공격 동작 취하도록 함","On phase 1, if you're attacking in <aiPreset name=""1Phase_SequenceAttackBattle""/> and go over to <aiPreset name=""2Phase_SequenceAttackBattle""/>, the behavior goes straight to Attack_Idle without any intermediate steps, which looks awkward, so we made sure to take the finish attack behavior in this case."
"$# 특수상황:  이 변수 보냄은 핑크빈 스카이콩콩 행동때 아리엘 여신이 석상 있는 곳에서 독필드 설치하게 하기 위해서 -1을 보내는 것임, 독필드 설치 없으면 스카이콩콩 때 어뷰징 상황 생길 수 있어서 예방 차원에서 넣은  것임, 여신석상 호출 후 바로 신호 보내지 말고 어느정도 시간 지난 다음에 신호 보내는 것이 버그를 예방할 수 있음","$# Special Situation: This variable is sent to -1 to cause Goddess Ariel to set up a poison field in the presence of the statue during the Pink Bean Sky Kong Kong action. This is included as a precautionary measure because the absence of a poison field can cause abusing situations during Sky Kong Kong Kong Kong, and it can prevent bugs if the signal is not sent immediately after calling the statue, but after some time has passed."
"<aiPreset name=""ThirdPhase_MorePlayerAbsorb""> 실행하는 조건 변수임, 이 변수 초기화 하여, 구멍에 빠진 플레이어 흡수 해위 하지 말고 통상적인 공격 행동 하도록 함, 이거 초기화 안하면 계속 <aiPreset name=""ThirdPhase_MorePlayerAbsorb"">  단계 반복할 것임","<aiPreset name=""ThirdPreset_MorePlayerAbsorb""> is a conditional variable to run, initialize this variable to absorb players who have fallen into the hole and act as a normal attack instead of disengaging, otherwise we will continue to repeat the <aiPreset name=""ThirdPreset_MorePlayerAbsorb"" step."
"버그주의!: 플레이어가 계단 맨 끝단에 결쳐 있을 경우 발록이  skillId=""50100371"" skillLev=""11""  범위까지 계속 무한으로 걸어가려는 버그가 있어서 위 trace 쿨타임 3초짜리 실행해도 계속 trace 상태라면 이거 실행시켜 무조건 공격하게 하여 계단 맨 끝단 버그 유발 플레이를 막을 수 있게 함","Bug alert! If the player is stuck at the very end of the stairs, Balrog will skillId=""50100371"" skillLev=""11""  will continue to walk infinitely into range, so if you run the above trace cooldown of 3 seconds and he is still tracing, run this to make him attack unconditionally to prevent the end-of-staircase bug from causing play."
"혹시  <aiPreset name=""1Phase_SequenceAttackBattle""/> 부분에서 공격중인 상태에서 <aiPreset name=""1Phase_NormalBattle""/> 넘어올 경우 동작이 중간과정 없이 바로 Attack_Idle이 되어 어색해 보이는 분제가 있어서 이럴 경우 마무리 공격 동작 취하도록 함","If you're attacking in <aiPreset name=""1Phase_SequenceAttackBattle""/> and then go to <aiPreset name=""1Phase_NormalBattle""/>, the behavior goes straight to Attack_Idle without any intermediate steps, which looks awkward, so we've added a finishing attack behavior in this case."
"중요!: 졸구간에서 보스 HP가 급 감소되어서 졸구간 1페이지 혹은 2페이지까지 건너뛰기가 될 수 있기 때문에  자기 자신에서 Stage 변수 1이 아닌 다른 수로 설정해서, 졸구간 끝나고 보스 전투 구간에 들어섰음을 알림, 졸구간 보스 HP 극딜 당해서 페이지 건너뛰기 되면 상황이 꼬이기 때문에 이 경우를 대비한 설정함","Important! Set the Stage variable on yourself to a number other than 1 to indicate that you are entering a boss battle after the end of the dungeon, because the boss's HP may be drastically reduced in the dungeon, causing you to skip to phase 1 or 2 of the dungeon, which is a bad thing if the boss's HP is drastically reduced in the dungeon."
"RoadZonePosition = 9000 인 경우임,   AI_CarParadeBlackbeanBroken 인 경우 9시 지역에서 최초로 시작되고 RoadZonePosition = 0 인 상태로 시작하기 때문에 <aiPreset name=""VariableMoveRoad_State""> 실행시 최초에 여기부터 실행할 것임","This is the case when RoadZonePosition = 9000, and if AI_CarParadeBlackbeanBroken, it will run from here initially when running <aiPreset name=""VariableMoveRoad_State""> because it will start from the 9000 region first and start with RoadZonePosition = 0"
"4페이지에서 보스가 바닥으로 부터 200 이상의 높이에 있어서 우호적NPC가 계속 standby만 행동할 수 있는데, 이것을 계속 방치할 경우 BattleEnd 변수 1씩 더해서 30 이상 되면 스스로 사라지는  상황이 생길 수 있기 때문에 지속적으로 BattleEnd 변수  초기화 하는 신호를 우호적NPC에게 보냄","On page 4, the boss is at a height of 200 or more from the floor, so the friendly NPC can only standby, which if left unattended could cause the BattleEnd variable to add up to 1 and disappear when it reaches 30, so we send a signal to the friendly NPC to constantly reset the BattleEnd variable."
"이 쿨타임이 69.5초 인 이유는 이 모듈 호출하는 주기가 36초인데 이것이 2회 올때마다 사용하도록 하는것이 목적인데, 즉 적당히 40초~72초 사이의 시간을 설정하는 것이 좋은데 40초 가까이 하면, 전투판 옮기면 바로 이 모듈 호출하는데, 이때 거의 100% 발동되기 때문에 72초에 가까이 설정하는 것이 좋음","The reason this cooldown is 69.5 seconds is because this module has a 36-second cycle of calling this module, and the goal is to use it every other time it comes up, so you want to set it somewhere between 40 and 72 seconds, but if it's closer to 40 seconds, it will call this module as soon as you move the board, which is almost 100% of the time, so you want to set it closer to 72 seconds."
"맵트리거에게 BalrogMagicBursterBattlePhase = 1  신호 보내서, 맵트리거가 인페르녹과 전투 시작 되었음을 알림, 이 신호는 트리거와 몬스터가 신호 주고 받는 형태로 이루어 지는데 AI 진행 초반에 설정하면 트리거에서 이 신호 못받을 수 있어서 적당히 늦은 타이밍에 보내는 것이 안정적임","Sending a BalrogMagicBursterBattlePhase = 1 signal to the MapTrigger to let it know that the MapTrigger has entered battle with the Infernok. This signal is sent back and forth between the Trigger and the monster, but if set too early in the AI's progression, the Trigger may not receive this signal, so it's best to send it at a reasonable late time."
"보스 UI HB바 이슈 때문에 전함이 파괴되면 바로 레이저 전함(23000142)으로 교체하지 않고, 이 단계에서 가짜 전함이 나온 다음에 이후 진짜 레이저 전함(23000142)으로 교체하도록 설정했음, 이렇게 안하고 바로 23000142로 교체하면 2페이즈의 레이저포 전함의 HP바UI가 자동으로 뜨지 않음","Boss UI HB bar issue, when a battleship is destroyed, instead of replacing it with a laser battleship (23000142) immediately, a fake battleship appears at this stage and then replaces it with a real laser battleship (23000142) afterwards. If you don't do this and replace it with 23000142 immediately, the HP bar UI for the laser cannon battleship in phase 2 does not automatically appear."
"보스 UI HB바 이슈 때문에 전함이 파괴되면 바로 레이저 전함(23000146)으로 교체하지 않고, 이 단계에서 가짜 전함이 나온 다음에 이후 진짜 레이저 전함(23000146)으로 교체하도록 설정했음, 이렇게 안하고 바로 23000146로 교체하면 2페이즈의 레이저포 전함의 HP바UI가 자동으로 뜨지 않음","Boss UI HB bar issue, when a battleship is destroyed, instead of replacing it with a laser battleship (23000146) immediately, a fake battleship appears at this stage and is then replaced with a real laser battleship (23000146) afterwards, if you don't do this and replace it with 23000146, the HP bar UI for the laser cannon battleship in phase 2 does not automatically appear."
"의자 위에서 석상 활성화 하고 공격 반사 버프 사용하는 부분,                 param2=""2""  마지막 페이즈에 활성화 시키기   즉  죽을 수 있는 석상 호출, 앞 페이지에서 이미 석상이 활성화 된 상태라도 param2=""2"" 신호를 받으면 파괴가능 석상으로 호출하고 자신은 Remove 됨","The part where you activate the gargoyle on the chair and use the attack reflection buff, param2=""2"" activate it in the last phase, i.e. call the gargoyle that can be killed, even if the gargoyle is already activated on the previous page, if it gets the param2=""2"" signal, it will call the gargoyle destructible and remove itself."
